2023-10-27 09:47:18.298 [info] Extension host with pid 4278 started
2023-10-27 09:53:25.669 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.670 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.670 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/NTEU' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:25.918 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.919 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.919 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.919 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.921 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.921 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.922 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.922 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.923 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.923 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.924 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.924 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.925 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
2023-10-27 09:53:26.925 [error] {"message":"Git error","stdout":"","stderr":"fatal: '/home/sl2/S4005332/KDrive/BUS/ACC' is outside repository\n","exitCode":128}
